name,state,party,constituency,attendance,debates,questions
Bachhav Shobha Dinesh,Maharashtra,Indian National Congress,Dhule,0.991452991,22.0,100.0
Balwant Baswant Wankhade,Maharashtra,Indian National Congress,Amravati,0.871794872,17.0,102.0
Prashant Yadaorao Padole,Maharashtra,Indian National Congress,Bhandara-Gondiya,0.923076923,61.0,80.0
Hemant Vishnu Savara,Maharashtra,Bharatiya Janata Party,Palghar,0.974358974,31.0,217.0
Prataprao Ganpatrao Jadhav,Maharashtra,Shiv Sena,Buldhana,0.0,0.0,0.0
Murlidhar Mohol,Maharashtra,Bharatiya Janata Party,Pune,0.0,0.0,0.0
Nitin Jairam Gadkari,Maharashtra,Bharatiya Janata Party,Nagpur,0.0,0.0,0.0
Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Osmanabad,0.965811966,64.0,166.0
Piyush Vedprakash Goyal,Maharashtra,Bharatiya Janata Party,Mumbai North,0.0,0.0,0.0
Praniti Sushilkumar Shinde,Maharashtra,Indian National Congress,Solapur,0.905982906,33.0,112.0
Raksha Nikhil Khadse,Maharashtra,Bharatiya Janata Party,Raver,0.0,0.0,0.0
Ravindra Dattaram Waikar,Maharashtra,Shiv Sena,Mumbai North West,0.982905983,42.0,187.0
Shrikant Eknath Shinde,Maharashtra,Shiv Sena,Kalyan,0.777777778,27.0,203.0
Shrirang Appa Chandu Barne,Maharashtra,Shiv Sena,Maval,0.948717949,49.0,230.0
Smita Uday Wagh,Maharashtra,Bharatiya Janata Party,Jalgaon,0.957264957,44.0,232.0
Supriya Sule,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Baramati,0.957264957,66.0,188.0
Vishaldada Prakashbapu Patil,Maharashtra,Independent,Sangli,0.923076923,73.0,148.0
Bhartruhari Mahtab,Odisha,Bharatiya Janata Party,Cuttack,0.931623932,41.0,221.0
Dharmendra Pradhan,Odisha,Bharatiya Janata Party,Sambalpur,0.0,0.0,0.0
Jual Oram,Odisha,Bharatiya Janata Party,Sundargarh,0.0,0.0,0.0
Saptagiri Sankar Ulaka,Odisha,Indian National Congress,Koraput,0.982905983,83.0,133.0
Dharamvira Gandhi,Punjab,Indian National Congress,Patiala,0.786324786,10.0,44.0
Arjun Ram Meghwal,Rajasthan,Bharatiya Janata Party,Bikaner,0.0,0.0,0.0
Bhagirath Choudhary,Rajasthan,Bharatiya Janata Party,Ajmer,0.0,0.0,0.0
Bhupender Yadav,Rajasthan,Bharatiya Janata Party,Alwar,0.0,0.0,0.0
Damodar Agrawal,Rajasthan,Bharatiya Janata Party,Bhilwara,0.991452991,21.0,177.0
Gajendra Singh Shekhawat,Rajasthan,Bharatiya Janata Party,Jodhpur,0.0,0.0,0.0
Hanuman Beniwal,Rajasthan,Rashtriya Loktantrik Party,Nagaur,0.991452991,58.0,127.0
Lumba Ram,Rajasthan,Bharatiya Janata Party,Jalore,0.974358974,30.0,211.0
P P Chaudhary,Rajasthan,Bharatiya Janata Party,Pali,0.982905983,39.0,223.0
Rajkumar Roat,Rajasthan,Bharat Adivasi Party,Banswara,0.923076923,41.0,105.0
Rao Rajendra Singh,Rajasthan,Bharatiya Janata Party,Jaipur Rural,0.982905983,16.0,76.0
C N Annadurai,Tamil Nadu,Dravida Munnetra Kazhagam,Tiruvannamalai,0.760683761,35.0,208.0
D M Kathir Anand,Tamil Nadu,Dravida Munnetra Kazhagam,Vellore,0.863247863,41.0,125.0
Kanimozhi Karunanidhi,Tamil Nadu,Dravida Munnetra Kazhagam,Thoothukkudi,0.760683761,27.0,93.0
Manickam Tagore B,Tamil Nadu,Indian National Congress,Virudhunagar,0.923076923,45.0,148.0
Navaskani K,Tamil Nadu,Indian Union Muslim League,Ramanathapuram,0.863247863,183.0,185.0
S Jothimani,Tamil Nadu,Indian National Congress,Karur,0.957264957,36.0,122.0
T Sumathy Alias Thamizhachi Thangapandian,Tamil Nadu,Dravida Munnetra Kazhagam,Chennai South,0.829059829,59.0,131.0
